@relation Gradient

@attribute constant numeric
@attribute x numeric
@attribute y numeric
 
@data
1,0.5871274,9.3475096
1,0.233777,7.936108
1,0.3660589,8.4652356
1,0.2886219,8.1534876
1,0.1665558,7.6762232
1,0.0255844,7.1013376
1,0.6110388,9.443155200000001
1,0.6086767,9.433706800000001
1,0.7888893,10.1545572
1,0.5633019,9.254207599999999
1,0.6025661,9.4092644
1,0.8305649000000001,10.3212596
1,0.3071513,8.2386052
1,0.7592532,10.0270128
1,0.2837762,8.1331048
1,0.7657015,10.060806
1,0.4132226,8.6628904
1,0.0565151,7.2270604
1,0.2162069,7.8638276
1,0.9619148,10.8496592
1,0.4313434,8.7243736
1,0.0924579,7.3798316
1,0.0254824,7.1009296
1,0.8305593,10.3232372
1,0.4710087,8.883034800000001
1,0.1293855,7.516541999999999
1,0.3329058,8.3306232
1,0.0636761,7.2527044
1,0.8056129,10.2214516
1,0.6825172,9.7290688
1,0.2910007,8.1650028
1,0.7646957,10.0577828
1,0.8818644,10.5264576
1,0.7570753,10.0383012
1,0.9084845,10.632938
1,0.5135786,9.0533144
1,0.5652908,9.260163200000001
1,0.2464727,7.9868908
1,0.0466176,7.1884704
1,0.0257871,7.1021484
1,0.6237885,9.494154
1,0.2810863,8.104345200000001
1,0.0142479,7.0559916
1,0.357845,8.430380000000001
1,0.6055516,9.4232064
1,0.0447254,7.177901599999999
1,0.4373004,8.739201599999999
1,0.4265541,8.686216400000001
1,0.3229579,8.290831600000001
1,0.3351498,8.341599199999999
1,0.157795,7.630179999999999
1,0.8460569999999999,10.383228
1,0.7544751,10.0169004
1,0.8210018,10.2830072
1,0.8913771,10.5755084
1,0.4404542,8.760816800000001
1,0.1267253,7.505901199999999
1,0.03903,7.155119999999999
1,0.8695684,10.4582736
1,0.7516681,10.0056724
1,0.9110589,10.6452356
1,0.1603243,7.6402972
1,0.5756682,9.3016728
1,0.2746786,8.097714400000001
1,0.6171821,9.4587284
1,0.6009984,9.4029936
1,0.1247486,7.4979944
1,0.5291056,9.1154224
1,0.9129103,10.6616412
1,0.6228337,9.490334800000001
1,0.7009454000000001,9.802781600000001
1,0.2442094,7.975837599999999
1,0.0977659,7.411063599999999
1,0.3495142,8.3970568
1,0.9696795,10.879718
1,0.3702083,8.4798332
1,0.6444269,9.576707600000001
1,0.8257411,10.3019644
1,0.2819337,8.126734800000001
1,0.9492002,10.7948008
1,0.3562801,8.424120400000001
1,0.3780769,8.5113076
1,0.7110539,9.846215600000001
1,0.1763725,7.70449
1,0.2031809,7.8117236
1,0.6524944,9.6109776
1,0.537876,9.141503999999999
1,0.1234395,7.492757999999999
1,0.2598267,8.038306800000001
1,0.031669,7.136676
1,0.3403885,8.360554
1,0.3660934,8.4543736
1,0.8202007,10.2798028
1,0.4562688,8.815075200000001
1,0.3138218,8.2542872
1,0.8061097,10.2344388
1,0.234976,7.938904
1,0.2697524,8.0810096
1,0.1493385,7.596354
1,0.2803356,8.1113424
